"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5585","shouldSelectSaucesTab()","","Wed Sep 09 00:26:20 MSK 2026","passed","Wed Sep 09 00:26:26 MSK 2026","","ru.yandex.praktikum.tests.ConstructorTest","ru.yandex.praktikum.tests.ConstructorTest","shouldSelectSaucesTab"
"","6151","shouldGoToConstructorFromAccount()","","Wed Sep 09 00:26:09 MSK 2026","passed","Wed Sep 09 00:26:15 MSK 2026","","ru.yandex.praktikum.tests.AccountTest","ru.yandex.praktikum.tests.AccountTest","shouldGoToConstructorFromAccount"
"","17282","shouldLogout()","","Wed Sep 09 00:25:37 MSK 2026","passed","Wed Sep 09 00:25:54 MSK 2026","","ru.yandex.praktikum.tests.AccountTest","ru.yandex.praktikum.tests.AccountTest","shouldLogout"
"","4701","shouldShowErrorForShortPassword()","","Wed Sep 09 00:26:59 MSK 2026","passed","Wed Sep 09 00:27:04 MSK 2026","","ru.yandex.praktikum.tests.RegistrationTest","ru.yandex.praktikum.tests.RegistrationTest","shouldShowErrorForShortPassword"
"","6013","shouldGoToConstructorByLogoFromAccount()","","Wed Sep 09 00:25:54 MSK 2026","passed","Wed Sep 09 00:26:00 MSK 2026","","ru.yandex.praktikum.tests.AccountTest","ru.yandex.praktikum.tests.AccountTest","shouldGoToConstructorByLogoFromAccount"
"","5796","shouldLoginFromForgotPasswordPage()","","Wed Sep 09 00:26:36 MSK 2026","passed","Wed Sep 09 00:26:42 MSK 2026","","ru.yandex.praktikum.tests.LoginTest","ru.yandex.praktikum.tests.LoginTest","shouldLoginFromForgotPasswordPage"
"","5118","shouldSelectBunsTab()","","Wed Sep 09 00:26:15 MSK 2026","passed","Wed Sep 09 00:26:20 MSK 2026","","ru.yandex.praktikum.tests.ConstructorTest","ru.yandex.praktikum.tests.ConstructorTest","shouldSelectBunsTab"
"","6460","shouldLoginFromMainPage()","","Wed Sep 09 00:26:47 MSK 2026","passed","Wed Sep 09 00:26:54 MSK 2026","","ru.yandex.praktikum.tests.LoginTest","ru.yandex.praktikum.tests.LoginTest","shouldLoginFromMainPage"
"","8804","shouldOpenPersonalAccount()","","Wed Sep 09 00:26:00 MSK 2026","passed","Wed Sep 09 00:26:09 MSK 2026","","ru.yandex.praktikum.tests.AccountTest","ru.yandex.praktikum.tests.AccountTest","shouldOpenPersonalAccount"
"","4836","shouldSelectFillingsTab()","","Wed Sep 09 00:26:26 MSK 2026","passed","Wed Sep 09 00:26:31 MSK 2026","","ru.yandex.praktikum.tests.ConstructorTest","ru.yandex.praktikum.tests.ConstructorTest","shouldSelectFillingsTab"
"","5718","shouldLoginFromAccountButton()","","Wed Sep 09 00:26:42 MSK 2026","passed","Wed Sep 09 00:26:47 MSK 2026","","ru.yandex.praktikum.tests.LoginTest","ru.yandex.praktikum.tests.LoginTest","shouldLoginFromAccountButton"
"","5697","shouldRegisterSuccessfully()","","Wed Sep 09 00:26:54 MSK 2026","passed","Wed Sep 09 00:26:59 MSK 2026","","ru.yandex.praktikum.tests.RegistrationTest","ru.yandex.praktikum.tests.RegistrationTest","shouldRegisterSuccessfully"
"","5189","shouldLoginFromRegistrationPage()","","Wed Sep 09 00:26:31 MSK 2026","passed","Wed Sep 09 00:26:36 MSK 2026","","ru.yandex.praktikum.tests.LoginTest","ru.yandex.praktikum.tests.LoginTest","shouldLoginFromRegistrationPage"
